South Bounding, West Bounding, North Bounding, East Bounding
-3.8399,9.4264,-1.9529,11.4754
-2.3923,12.8264,-0.5053,14.8727
-3.8402,12.5167,-1.9535,14.5659
-5.2843,12.2068,-3.3968,14.26
-2.3911,8.195,-0.5041,10.241
-3.8392,7.8851,-1.9524,9.9342
-5.2829,10.6721,-3.3955,12.725
-0.9463,10.0782,0.9404,12.1235
-2.3904,9.7707,-0.5036,11.8171
-3.839,9.4607,-1.9517,11.5102
-2.3906,12.8533,-0.5035,14.8997
-3.8388,12.5438,-1.952,14.5928
-5.2828,12.234,-3.3956,14.2871
1.9471,9.1363,3.8344,11.1829
1.9463,12.2286,3.8334,14.2753
0.502,11.9223,2.3889,13.9671
-0.9466,11.6143,0.9401,13.6592
-2.3909,11.3069,-0.5041,13.3528
-5.2857,13.7835,-3.3985,15.8359
1.9475,10.6799,3.8344,12.7268
0.4989,10.3728,2.3857,12.4178
-0.9454,10.0658,0.9415,12.1109
-2.3898,9.7581,-0.5029,11.8046
-3.8385,9.4487,-1.9513,11.4975
-5.2823,9.1391,-3.3954,11.192
-2.391,12.8417,-0.5042,14.888
-3.8398,12.5326,-1.9526,14.5809
-5.2837,12.2225,-3.3966,14.2756
1.9456,12.2199,3.8325,14.2665
-2.392,11.2985,-0.5054,13.3439
-5.2848,10.6792,-3.3979,12.7319
1.9488,10.6743,3.8356,12.7208
0.4998,10.367,2.3869,12.4118
-0.9444,10.0602,0.9422,12.1049
-2.3935,9.752,-0.5064,11.7977
1.9464,13.7616,3.8333,15.8084
0.5019,13.4555,2.3889,15.5005
-0.9467,13.1478,0.94,15.1929
-2.3911,12.8402,-0.5043,14.8867
-3.84,12.531,-1.9527,14.5797
-5.284,12.2214,-3.397,14.2744
-0.9466,8.4902,0.94,10.5356
-2.3916,8.1832,-0.5043,10.2289
1.9454,10.6398,3.8325,12.6859
0.5011,10.3334,2.3877,12.3783
-0.9436,10.0269,0.9432,12.0713
-2.3925,9.7187,-0.5056,11.7644
-5.2847,12.1944,-3.3974,14.2465
1.9458,9.1146,3.8331,11.1613
0.5016,8.8081,2.3881,10.8536
-0.9475,8.5009,0.9394,10.5456
-2.3919,8.1932,-0.5052,10.2394
-3.8365,7.8856,-1.9494,9.9336
1.9471,12.2024,3.8343,14.2488
0.4985,11.8954,2.3849,13.9403
-0.9465,11.5887,0.9407,13.6333
-2.3907,11.2812,-0.5041,13.3273
-3.8398,10.9726,-1.9527,13.021
-5.2841,10.6625,-3.3969,12.7153
-5.284,13.7516,-3.3968,15.8037
1.9511,10.6588,3.8334,12.7041
-0.9471,13.1378,0.9393,15.1824
1.9494,9.1181,3.8319,11.1634
0.5048,8.8121,2.387,10.8561
-0.9399,8.5056,0.9423,10.5495
-2.3889,8.1974,-0.5066,10.2423
-2.3877,11.2854,-0.5057,13.3302
-2.385,14.3752,-0.5032,16.4205
-3.8341,14.0663,-1.9517,16.1139
-2.386,9.7437,-0.504,11.7887
0.5065,13.4521,2.3891,15.496
-0.9423,13.1444,0.9396,15.1883
-2.3872,12.8374,-0.5049,14.8824
1.9502,9.1206,3.833,11.1661
0.5056,8.8148,2.3876,10.859
-0.9393,8.508,0.943,10.5518
-2.3882,8.1999,-0.5062,10.2449
-2.3853,11.2905,-0.5033,13.3356
-3.8346,10.9815,-1.9522,13.029
-5.278,13.7633,-3.3958,15.8149
-5.2782,12.2201,-3.3955,14.2714
1.95,9.1143,3.8329,11.1601
0.5056,8.8082,2.3874,10.8525
-0.9395,8.5023,0.9428,10.5458
-2.3886,8.1938,-0.5064,10.2389
-3.8336,7.886,-1.9511,9.9334
-5.2804,10.6637,-3.3979,12.7158
-0.9417,13.1331,0.9403,15.1771
-2.387,12.826,-0.5043,14.8708
-3.8361,12.5171,-1.9538,14.5645
-5.2809,12.2076,-3.3982,14.2593
-0.9404,11.5959,0.9419,13.6397
-2.3856,11.2886,-0.503,13.3338
-3.8348,10.9797,-1.9525,13.0273
-5.2799,10.6706,-3.3969,12.7219
-2.3877,9.7435,-0.5054,11.7888
-3.8329,9.436,-1.9504,11.4833
1.9527,13.753,3.8357,15.7984
0.5032,13.4463,2.3856,15.4906
-3.8349,10.9805,-1.9523,13.0282
-5.2801,10.6716,-3.397,12.7228
-2.3878,9.733,-0.5048,11.7779
-2.3859,14.3688,-0.5035,16.4142
-3.8358,14.0604,-1.9532,16.1077
-0.9426,8.4773,0.9405,10.5212
-2.3882,8.1706,-0.5054,10.2151
1.9517,12.1781,3.8343,14.224
